@relation combinedRaw

@attribute AccX1 numeric
@attribute AccY1 numeric
@attribute AccZ1 numeric
@attribute GyrX1 numeric
@attribute GyrY1 numeric
@attribute GyrZ1 numeric
@attribute AccX2 numeric
@attribute AccY2 numeric
@attribute AccZ2 numeric
@attribute GyrX2 numeric
@attribute GyrY2 numeric
@attribute GyrZ2 numeric
@attribute AccX3 numeric
@attribute AccY3 numeric
@attribute AccZ3 numeric
@attribute GyrX3 numeric
@attribute GyrY3 numeric
@attribute GyrZ3 numeric
@attribute AccX4 numeric
@attribute AccY4 numeric
@attribute AccZ4 numeric
@attribute GyrX4 numeric
@attribute GyrY4 numeric
@attribute GyrZ4 numeric
@attribute AccX5 numeric
@attribute AccY5 numeric
@attribute AccZ5 numeric
@attribute GyrX5 numeric
@attribute GyrY5 numeric
@attribute GyrZ5 numeric
@attribute AccX6 numeric
@attribute AccY6 numeric
@attribute AccZ6 numeric
@attribute GyrX6 numeric
@attribute GyrY6 numeric
@attribute GyrZ6 numeric
@attribute AccX7 numeric
@attribute AccY7 numeric
@attribute AccZ7 numeric
@attribute GyrX7 numeric
@attribute GyrY7 numeric
@attribute GyrZ7 numeric
@attribute AccX8 numeric
@attribute AccY8 numeric
@attribute AccZ8 numeric
@attribute GyrX8 numeric
@attribute GyrY8 numeric
@attribute GyrZ8 numeric
@attribute AccX9 numeric
@attribute AccY9 numeric
@attribute AccZ9 numeric
@attribute GyrX9 numeric
@attribute GyrY9 numeric
@attribute GyrZ9 numeric
@attribute AccX10 numeric
@attribute AccY10 numeric
@attribute AccZ10 numeric
@attribute GyrX10 numeric
@attribute GyrY10 numeric
@attribute GyrZ10 numeric
@attribute AccX11 numeric
@attribute AccY11 numeric
@attribute AccZ11 numeric
@attribute GyrX11 numeric
@attribute GyrY11 numeric
@attribute GyrZ11 numeric
@attribute AccX12 numeric
@attribute AccY12 numeric
@attribute AccZ12 numeric
@attribute GyrX12 numeric
@attribute GyrY12 numeric
@attribute GyrZ12 numeric
@attribute AccX13 numeric
@attribute AccY13 numeric
@attribute AccZ13 numeric
@attribute GyrX13 numeric
@attribute GyrY13 numeric
@attribute GyrZ13 numeric
@attribute AccX14 numeric
@attribute AccY14 numeric
@attribute AccZ14 numeric
@attribute GyrX14 numeric
@attribute GyrY14 numeric
@attribute GyrZ14 numeric
@attribute AccX15 numeric
@attribute AccY15 numeric
@attribute AccZ15 numeric
@attribute GyrX15 numeric
@attribute GyrY15 numeric
@attribute GyrZ15 numeric
@attribute AccX16 numeric
@attribute AccY16 numeric
@attribute AccZ16 numeric
@attribute GyrX16 numeric
@attribute GyrY16 numeric
@attribute GyrZ16 numeric
@attribute AccX17 numeric
@attribute AccY17 numeric
@attribute AccZ17 numeric
@attribute GyrX17 numeric
@attribute GyrY17 numeric
@attribute GyrZ17 numeric
@attribute AccX18 numeric
@attribute AccY18 numeric
@attribute AccZ18 numeric
@attribute GyrX18 numeric
@attribute GyrY18 numeric
@attribute GyrZ18 numeric
@attribute AccX19 numeric
@attribute AccY19 numeric
@attribute AccZ19 numeric
@attribute GyrX19 numeric
@attribute GyrY19 numeric
@attribute GyrZ19 numeric
@attribute AccX20 numeric
@attribute AccY20 numeric
@attribute AccZ20 numeric
@attribute GyrX20 numeric
@attribute GyrY20 numeric
@attribute GyrZ20 numeric
@attribute Label {Down,Left,Right,TiltLeft,TiltRight,Up}

@data
-522,-923,63,4207,42621,55426,256,319,134,-8780,-23231,-135121,561,949,-40,66158,-2682,-54999,123,530,-119,-32500,1280,14878,-276,-322,177,-36524,26890,137256,0,-308,-30,-29390,-2987,84634,107,-30,-158,1768,-8414,24878,-208,-471,44,40000,-15548,-9878,-335,-482,27,2804,33841,7682,-102,60,11,-27195,6036,-41890,34,313,-87,10609,-5670,-23353,-83,86,27,27865,-7256,-7682,10,133,26,-26219,4207,-25792,39,20,-43,1097,-5670,-2134,1,42,-2,9207,2378,7560,-1,-36,26,1280,-121,4512,-13,-11,-11,-3902,-4817,1646,-4,1,-14,182,2500,-2256,17,7,4,-1768,365,-1219,-23,-35,0,304,-1280,2743,Down
-22,-1100,232,20304,51646,36707,140,-136,-25,-32987,-98597,-153780,972,2885,-410,10000,-42134,-160792,-390,-1002,502,12987,91402,166646,-34,-193,-116,-4329,-8109,86951,-15,-176,-111,-39817,11158,70792,-11,8,46,25609,-3353,37073,-137,-170,15,-10609,7987,9573,-170,-132,-52,6280,-20426,-6341,-41,-48,-65,4451,1951,-13902,-257,-425,57,-8353,27256,-8780,-21,123,-49,18902,-12926,-38414,-37,188,54,11707,-1646,-3902,-53,144,-10,-16219,-548,-24756,-19,53,7,-6341,-426,-10000,33,14,-72,5487,-2865,5426,34,15,-12,-13292,5731,-4756,0,-26,20,20365,-3414,8475,9,55,-19,-2439,1402,-7621,-28,-60,18,4817,-3963,11585,Down
91,-1005,230,12987,20853,-8292,482,645,47,-7317,-39512,-107195,489,1227,-248,94207,1158,-72621,-161,-37,-48,-122743,3597,28597,-191,-82,139,35182,20731,146524,-21,-610,76,-31890,-4512,81463,2,-63,-143,-19207,-3902,3658,-29,17,55,1646,-5487,-17499,-97,-23,-117,25243,-12012,2804,-266,-260,76,7804,24756,31158,-160,-194,-70,3536,-10304,-20548,-97,61,14,-11341,9695,-35060,-25,192,14,-2500,3536,-36951,22,102,20,11707,-5365,-3414,23,41,-49,-609,-3902,2134,6,37,3,-5243,2865,-3536,-12,-39,17,8963,-1463,8658,19,16,13,-5853,-609,-3719,-13,-22,-2,1463,914,853,2,26,4,121,60,-365,Down
70,-1020,159,-10000,15000,-17621,797,873,-74,8658,-25792,-180121,388,693,165,44329,-2865,-51646,-218,154,-255,-9207,-7012,71036,-270,-127,138,-29329,25182,145670,166,-217,21,-53109,-853,110304,85,-136,-41,-5670,-11402,45243,-459,-479,-77,22317,-13902,8902,-22,96,-3,50548,29939,-58048,-266,-365,-64,-2926,2987,16890,-164,60,-37,-27256,-7926,-42621,-83,213,113,-2560,15487,-25487,11,176,-26,365,-13597,-15182,24,93,-4,2317,1463,-10182,-10,-7,-39,17012,-10060,7317,-4,-32,-7,-304,-304,182,-11,17,41,-6097,3902,-5670,8,3,-24,-182,-1036,1585,0,34,19,-304,-121,-1463,-13,-38,-5,1707,182,3780,Down
114,-1094,-152,-36463,-12743,-44207,770,570,505,65000,30487,-113048,477,1200,-230,100121,-32865,-65731,-422,-430,37,-139268,4146,90792,-135,44,62,26341,5670,84756,243,196,-172,-31219,304,85365,145,-128,38,-36585,-7012,69512,-460,-339,105,9695,1646,55243,-208,-235,-127,3414,17560,-27804,-201,-195,-182,45426,-8597,-13719,-226,-143,66,8231,14939,-34939,-143,201,-12,-18292,-4695,-42012,-80,149,91,-5792,7560,-31219,-3,192,-2,-3353,-4390,-25792,23,46,-40,13902,-11768,9573,0,-58,-30,731,60,4878,-18,-29,16,-426,2560,1341,22,57,-2,-1036,-4939,-3353,7,-26,20,-1768,1524,-853,-14,-6,-21,-792,121,1646,Down
1093,113,28,13719,-27195,-251646,215,186,246,27926,42500,18414,-40,-187,-159,-40731,-23292,44573,-128,129,-9,27317,731,117134,13,-91,-2,-15000,5792,63719,286,103,-10,-41219,5487,78963,76,-177,118,-50914,13292,39817,-633,-311,-182,42682,17134,66158,-78,-7,-58,42560,-2195,18231,-383,-250,-37,18963,-16890,-24756,-344,-53,80,487,-5487,-64939,-117,194,36,-28597,-182,-60914,-49,273,23,548,-2317,-53719,-2,123,-86,-3048,-9573,-9207,53,18,30,10060,-243,12256,-1,-32,3,-975,1341,609,16,-33,-26,2256,-1646,2378,-22,-13,-7,-5609,2500,-670,20,20,47,-853,975,-2439,-11,7,-14,426,-426,365,Down
343,-1240,-46,-30487,-11646,-24268,817,975,317,69268,20914,-193780,179,1222,21,93048,27256,-13475,-297,-715,-166,-158719,-39878,111402,2,14,159,66646,1646,73719,165,-141,-337,-69451,-10731,64756,-35,160,190,-57926,10792,64756,-83,-288,61,45975,-4146,27439,-274,-204,-196,16158,-14146,11402,-105,-82,21,36890,19695,10609,-343,-181,44,12865,5000,-27987,-171,151,-41,-40121,9634,-45792,12,178,7,15609,-5792,-20121,-53,90,-23,-6036,-6341,-21890,-28,71,62,-10609,5609,-15914,20,-5,-59,14634,-7926,2865,2,-11,11,7012,-914,853,-5,9,0,-1768,-121,-1341,16,38,-22,-3414,-975,-1158,-17,-17,35,3780,2317,2378,Down
8,-1105,128,18475,29207,-7439,413,-82,59,-30670,-14268,-118658,1355,1948,-400,37743,-10426,-171463,-657,-326,411,-44329,55060,108902,-149,-280,-32,-16036,-60182,84878,105,28,-176,19207,-26036,118719,99,-151,7,-36585,3719,82682,-102,-160,-40,11036,60,31219,-242,-113,65,65426,426,23658,-203,19,-3,-21951,8414,-15182,-495,-305,55,-16280,13170,-26646,-66,50,-12,10670,-5670,-32743,-101,188,-102,-7256,60,-48292,39,273,93,-6402,15853,-40243,-4,-21,-54,12743,-10121,8414,35,18,27,5243,2012,-2378,5,50,-7,-9695,-243,-1280,-31,-54,-36,5121,731,4573,29,37,33,1768,-3841,-2317,-29,-11,-2,426,-182,4146,Down
-27,-1059,-46,12621,15975,-2012,228,83,167,-7621,-2195,-91280,1136,1175,-69,-36890,-17195,-163353,41,208,140,83170,4390,41097,-193,-131,-131,-23780,-17987,50731,-192,-167,169,-17073,24329,136341,78,39,56,-22621,-6463,65365,130,-52,-57,-58536,-33353,88292,-301,-278,-304,-7195,3780,34512,-154,-121,47,48292,48719,15426,-461,-270,-1,58780,4878,-24573,-189,21,30,-27865,3475,-61463,-163,165,7,-853,-18963,-52439,15,336,39,-6158,3963,-43536,-5,45,-10,-4329,-6524,-2865,48,2,-66,548,-3231,1158,7,-9,0,11097,-3841,7256,-20,-25,3,-1890,2073,-914,7,26,20,1524,-1097,-914,13,0,-30,-4756,-1097,121,Down
-48,-1089,-144,7926,28292,5609,402,175,440,18536,17378,-110731,1160,1372,-359,-94329,-77134,-183048,-371,-28,105,83231,26280,104878,-260,-65,83,21036,1646,68902,43,-398,-59,-41463,7439,106768,145,82,-18,-7134,5975,49390,20,36,53,-54329,-3414,69695,-127,-171,-91,28963,-13536,25670,-448,-172,34,13292,-4268,-24695,-103,33,-87,41951,25609,-17743,-224,-294,67,24634,1402,5000,-75,177,7,-58170,-1341,-55365,-37,152,-57,4207,-3353,-20975,-39,148,30,-548,-1707,-21036,-4,31,-23,11768,-5609,4573,0,-21,-14,4085,-2743,-670,45,64,3,-243,-243,-6768,-16,-15,-1,548,1280,2621,-32,-47,16,2134,-182,2195,Down
